titulo;loja;fonte;preco;tem_imagem;tem_afiliado;hash
Geladeira Electrolux Frost Free 310L Duplex Cor Inox (TF39S);lebiscuit.com.br;Promobit;R$2.384,10;True;True;06e0b132e6edec5db9536335f8686402609221f0bcfbcdcd5e494bde1d47ae12
Relógio inteligente Amazfit Active 2 44mm Mapas GPS com direção Rastreador de fitness Bateria de 10 dias Monitor;aliexpress.com;Promobit;R$535,12;True;True;475969fadda2186ad58bab2d9745318e6fd1b27a00b028da10286848895bf69f
Desktop HP Pro SFF 280 G9 Intel Core i3 Windows 11 Home 4GB RAM;hp.com;Promobit;R$2.599,05;True;True;bfc20958d4ade63ffdfd8999f6adbd35f64ff813c38297660ff59ecd1ab240bd
Smart TV Samsung 50" Neo Qled 4K 2024 - 50QN90D;samsung.com;Promobit;R$3.365,10;True;True;08518bc462fcee171161eff19fa07ce47ecd8fb4e974aa5ecbdb9318fde73970
Descubra as nossas melhores ofertas e cupons exclusivos!;promobit.com.br;Promobit;R$6.002,10;True;True;08d443cccbf9c947baf084e12483557e8b79867d795b68372402bb205c2ad931
Smartphone Samsung Galaxy S25 Ultra 512GB 12GB Galaxy AI 5G 6.9";samsung.com;Promobit;R$6.002,10;True;True;5b31eca44a84fd2a1eb4bd7c3d03094dc67feb1086442025ff9dd4d70a8e0bbf
Planos de Internet Móvel a Partir de R$58,99. Compare e Economize!;melhorplano.net;Promobit;R$58,99;True;True;e5c54148d92f2a5532e375f12f3e25a87ec24f3aac366a635c0c68a2df86611b
Kit 3 Pares de Meias Light Não Atoalhado Cano Invisível Tamanho 34-38 Oxer Adulto;centauro.com.br;Promobit;R$15,19;True;True;05a168b7b24ac5db1d7028c877fd032cb36514c37b5a31d36e3d69fe9ecd61c9
Tênis Mizuno Wave Sky 8 - Masculino;netshoes.com.br;Promobit;R$421,19;True;True;5ba8af480817b0cf1e9b1749e029525fd8f8e541470d64fea4e82aa1c193565f
Smartphone Samsung Galaxy S25 Ultra 256GB 12GB Galaxy AI 5G 6.9";samsung.com;Promobit;R$5.759,10;True;True;5a3d1a896bf0493a05592faa54d2923011eb5355fd22d657c9b6f37306e5db6d
Smart TV Samsung Vision AI TV 55" QLED 4K Q7F 2025 Pontos Quânticos - QN55Q7FAAGXZD;casasbahia.com.br;Promobit;R$2.899,00;True;True;abc7f54731599112fe308f006ff16d08a5f23b60ac4de56bdeeaad145c4adf73
Camisa Fluminense I Oficial 202526 Masculina;mercadolivre.com.br;Promobit;R$190,34;True;True;fea68d106524650f21532fb6b9dda33a76a4e29aefcc55175047005f9f224656
Tênis Adidas Urban Court - Masculino;netshoes.com.br;Promobit;R$134,99;True;True;f797ef207da0044d860b80aefcc6a470eb950bbadf37209ba448e86833c08678
Kit De Mergulho Profissional Máscara E Snorkel Uv Preto;mercadolivre.com.br;Promobit;R$74,99;True;True;d58c6edc40e453fec41356a19b80cbe7b5789bb6d8dc55f8e6da295bcc5302fe
Tênis Olympikus Sonoro 3 - Masculino Tam 39;mercadolivre.com.br;Promobit;R$126,64;True;True;6af3c2b850f0383ff04c77b03ce464c74b3950571063bdaff8c21b56197689bb
Arpão Arbalete Pesca 60cm Divecom Com Elastico 16mm - Preto;mercadolivre.com.br;Promobit;R$501,00;True;True;2f96c48862991b8376d428aa2ced6be97b1dad3b483fd871b5fce4a0e00074a2
Óculos de sol Holbrook Standard Oakley;mercadolivre.com.br;Promobit;R$546,00;True;True;29f9c574434ff6e683f157943bf8e2e9ec6903fb275ae52f0a8301ce2df78d52
